Error           Sample Size
0.458407        10             
0.627307        35             
0.310824        65             
0.138407        100            
0.138407        350            
0.033792        650            
0.018407        1000           
0.023879        3500           
0.011638        6500           
0.008393        10000          
0.010393        35000          
0.005176        65000          
0.006247        100000         
0.002921        350000         
0.001882        650000         
0.002537        1000000        
0.000415        3500000        
0.000073        6500000        
0.000808        10000000       
0.000231        35000000       
0.000078        65000000       
0.000050        100000000      
0.000020        350000000      
0.000025        650000000      
0.000016        1000000000     
